SHA-256,Vhash,File type,File size,Filename,Creation Time,First Submission,Last Submission,Last Analysis
87a57f5bb976644fce146e62ee54f3e53096f37f24884d312ab92198eb1e6549,094036651d5088z2e!z,Win32 EXE,92.00 KB,deviceserve.exe,2020-02-11 06:54:40,2020-02-22 22:23:18,2020-02-22 22:23:18,2020-02-26 07:18:28
06d20fb5894c291fca07021800e7e529371372abff6db310c0cbc100cf9ad9f9,054046655d1510f8z2218017z13z23zc1zc1z41a5z,Win32 EXE,58.00 KB,device.exe,2020-02-10 15:14:37,2020-02-22 22:24:17,2020-02-22 22:24:17,2020-02-26 07:28:25
59759bbdfc1a37626d99dd260e298a1285ff006035ab83b7a37561e2884fd471,054046655d15119z2518017z13z23zc1zc1z41a5z,Win32 EXE,58.50 KB,mfc,2020-01-14 01:18:21,2020-03-04 11:40:46,2020-03-04 11:40:46,2020-03-09 07:34:08
169c24f0ad3969fe99ff2bf205ead067222781a88d735378f41a9822c620a535,054046655d15119z2518017z13z23zc1zc1z41a5z,Win32 EXE,58.50 KB,mfc,2020-01-14 01:18:21,2020-03-06 14:26:47,2020-03-06 14:26:47,2020-03-11 08:25:35
8ac21275d0db7f3e990551f343e16ac105d6a513810ff71934de4855999cc9c5,054046655d15119z2518017z13z23zc1zc1z41a5z,Win32 EXE,56.50 KB,mfc,2019-12-22 03:56:40,2019-12-28 13:20:50,2020-03-05 19:06:19,2020-03-05 19:06:19
