Date,Rule,Collection,Type,Description,Reference,Detection,Hash,Link VT,Hashtag
2020-02-29 18:15,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,6eaaf17aac9a191146b0205a1aa840b2af7ada792f0b422c0da79c4fc58b57bd,https://www.virustotal.com/gui/file/6eaaf17aac9a191146b0205a1aa840b2af7ada792f0b422c0da79c4fc58b57bd,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 18:04,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 71,6c170073be12ebd02d7e59f5108d7d12db5192abf8feaba72b088f1b339c6c93,https://www.virustotal.com/gui/file/6c170073be12ebd02d7e59f5108d7d12db5192abf8feaba72b088f1b339c6c93,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 17:56,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,c3c2315b44d4aff2336608e670f5587f9e996744ce82a63191698add73eda3bb,https://www.virustotal.com/gui/file/c3c2315b44d4aff2336608e670f5587f9e996744ce82a63191698add73eda3bb,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 17:12,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 72,7f0780023231546beea5c68d3a4c632c9ad16a5c9e5b6083b692f1d13057cefb,https://www.virustotal.com/gui/file/7f0780023231546beea5c68d3a4c632c9ad16a5c9e5b6083b692f1d13057cefb,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 16:53,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,8458b3da1fcfcc691909163f701a84b0571b58d592c9262d4db4b70bf876317a,https://www.virustotal.com/gui/file/8458b3da1fcfcc691909163f701a84b0571b58d592c9262d4db4b70bf876317a,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 16:35,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 73,e529932291b79352fe7829ffdc61e81ffc8174d869cc1e80537dc004cf415247,https://www.virustotal.com/gui/file/e529932291b79352fe7829ffdc61e81ffc8174d869cc1e80537dc004cf415247,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 16:31,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,605fb0e43ffb7a04f375da1631682f973482e5a678ac8a686915344c1cc2b06f,https://www.virustotal.com/gui/file/605fb0e43ffb7a04f375da1631682f973482e5a678ac8a686915344c1cc2b06f,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 16:08,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 72,9c678ba5c9b756048cf7a8d77e6a7cdc9a38936ec7c4695353de28b34460e2d0,https://www.virustotal.com/gui/file/9c678ba5c9b756048cf7a8d77e6a7cdc9a38936ec7c4695353de28b34460e2d0,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 13:57,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,f7c3a6e33c65f90812e3461d60a21bf9e24e586eb5e4883181df6b9278ea34f2,https://www.virustotal.com/gui/file/f7c3a6e33c65f90812e3461d60a21bf9e24e586eb5e4883181df6b9278ea34f2,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 13:48,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,50 / 72,ecc47034c261984a22203386d57c789934ddfcb81e92685e70e82319ed2b9e66,https://www.virustotal.com/gui/file/ecc47034c261984a22203386d57c789934ddfcb81e92685e70e82319ed2b9e66,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 12:46,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,56 / 73,eb2f9091d816a1c560e46936992836df22b07bb68cef9c81e88cafe362b2331b,https://www.virustotal.com/gui/file/eb2f9091d816a1c560e46936992836df22b07bb68cef9c81e88cafe362b2331b,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 11:44,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,1d9bd04c2d5801d315fc75ae7ee8efdd5e35efb08255ca10b027c60828e5f164,https://www.virustotal.com/gui/file/1d9bd04c2d5801d315fc75ae7ee8efdd5e35efb08255ca10b027c60828e5f164,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 11:28,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,53 / 73,36e2f4ed487b32e4bb3216ca2cc3862dd92b916f71915038b59c9f1990da2b4f,https://www.virustotal.com/gui/file/36e2f4ed487b32e4bb3216ca2cc3862dd92b916f71915038b59c9f1990da2b4f,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 10:29,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,55 / 73,8f9695fc6c0c17d6081ad3f21a5b3da77fe66515682a01b1d504f354ce72bcad,https://www.virustotal.com/gui/file/8f9695fc6c0c17d6081ad3f21a5b3da77fe66515682a01b1d504f354ce72bcad,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 07:50,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,52 / 72,9f1cad418d319b8377203044b940ca60cded0b3e249cead282e18dce6c3ccf1b,https://www.virustotal.com/gui/file/9f1cad418d319b8377203044b940ca60cded0b3e249cead282e18dce6c3ccf1b,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
2020-02-29 06:38,APT_Turla_KopiLuwak_JS_Jul19_1,Russian Threat Groups,Valhalla Rule Feed Only,Detects Turla group KopiLuwak JS,https://securelist.com/turla-renews-its-arsenal-with-topinambour/91687/,54 / 72,d59d131e30955ec43acedbb68dc5c5c5277dcfb1444fb8e9c3faaa0b761f3aa4,https://www.virustotal.com/gui/file/d59d131e30955ec43acedbb68dc5c5c5277dcfb1444fb8e9c3faaa0b761f3aa4,#apt #turla #kopiluwak #russianthreatgroups #apt_turla_kopiluwak_js_jul19_1
