"SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"b207f98634b3a43a206b26ea62d107909f1b5084d11bfa60d854838cf1b11e15","04405d6d5d0d0d0128z2a19lz1fz","Win32 EXE","48.00 KB (49152 bytes)","myfile.exe","2006-09-26 06:24:45","2013-04-06 15:24:19","2019-10-30 23:25:40","2020-03-01 10:41:29"
"6874b387a1c07d85bbedbd196cae3f06539cbcc724395723034196a3ad016724","3140365515170831045020","Win32 DLL","10.00 KB (10240 bytes)","Microsoft.Exchange.Data.Mime.dll","2017-03-15 03:55:08","2019-03-08 15:56:21","2019-10-31 16:23:42","2020-02-19 10:41:08"
"2f133116d3a85ccead2b1bcfa6ba59d04387e107f0039502b39ed114e5ef8075","-","JPEG","388.96 KB (398293 bytes)","ATT00001.jpg","-","2018-12-21 06:25:59","2019-11-06 23:05:27","2019-12-12 11:09:32"
"e37493793723e716ba23d281d06ba31a7c921a32a848a29ce0844b2485317183","-","JPEG","1.04 KB (1066 bytes)","ATT00001.jpg","-","2018-12-21 06:22:34","2019-11-06 23:05:37","2019-11-11 23:57:24"
"5a64a2e46f7bd357c54a330db10d08ffa4b40678b795d41eea21f2513995fc39","115056655d15155078z76dz37z95z46z3","Win32 DLL","176.00 KB (180224 bytes)","MSJAVAVM","2008-06-09 17:23:56","2020-02-27 15:39:01","2020-02-27 18:56:03","2020-03-01 11:38:47"
"aa14d71d161d69eac36bada2d015beecd5e2c69f8c87e7fffa05b1fba26a2496","194056651d15151078z61dz37z95z46z2","Win32 DLL","96.00 KB (98304 bytes)","Debug A","2007-07-24 12:57:37","2019-10-07 03:01:27","2019-10-07 03:01:27","2020-03-01 11:06:59"
"98f8bbafc11a754c7cf50996fed75f39cdcae0fb624c12d7ab648befc5de7a1f","115046655d151078z6cdz37z95z46z2","Win32 DLL","104.00 KB (106496 bytes)","Debug A","2007-06-19 12:41:21","2019-10-07 03:33:56","2019-10-07 03:33:56","2020-03-01 10:57:38"
"6b79e2edf5d09f49308d7afb26f0312380de3249939bd46659acc1836146b266","115056655d15151068z72dz37z95z46z3","Win32 DLL","128.00 KB (131072 bytes)","Debug A","2008-03-27 14:58:15","2019-10-07 04:04:30","2019-10-07 04:04:30","2020-03-01 11:26:01"
"ce73f23239f2720be2bed098da4179c88e4f408e3ecef5971eb7e03c4f965aa9","115056655d15151078z76dz37z95z46z3","Win32 DLL","188.00 KB (192512 bytes)","Debug A","2008-05-22 10:24:55","2019-10-05 16:42:59","2019-10-08 06:33:04","2020-03-01 11:28:45"
"f0e5dd9ad5ac4f17517dab5c1c42068a60cd9db9a58f8a8349deebd1bf9eeccf","0150577d757d6d1""z","Win32 EXE","124.00 KB (126976 bytes)","Debug A","2013-10-15 10:43:09","2019-10-05 16:16:55","2019-10-08 15:35:21","2020-03-01 12:01:45"
"d4ba16db7c26622d2d402cb9714331abfee891b6276d16e6c2f2132e8944cc71","253036551517001580020","Win32 EXE","5.50 KB (5632 bytes)","Client.exe","2018-09-10 18:32:40","2019-10-12 09:07:06","2019-10-12 09:07:06","2020-03-01 10:51:44"
"26d75ec9a5474cb3dec54e65f7008faee3be900afd97146bb8647d2930c35f8f","-","JPEG","801.00 B (801 bytes)","attachment.bin","-","2018-01-18 12:26:51","2019-10-18 07:31:03","2020-02-29 17:16:17"
"5d4d1f7a3ab9c6e79e0752ebf9d30646bce605644e18c092b25d7fa26e31d837","115056651d15151068z72dz37z95z46z3","Win32 DLL","116.00 KB (118784 bytes)","MSJAVAVM","2008-03-27 14:58:15","2019-05-10 05:31:11","2020-01-27 07:04:32","2020-03-01 10:38:58"
"6f43521aad63819d89d72a66a2dbdaaa3090abfd799f31f87a8a5eb01f49839d","115056655d15155078z76dz37za5z46z3","Win32 DLL","165.50 KB (169472 bytes)","MSJAVAVM","2009-04-22 11:49:07","2020-02-01 10:22:11","2020-02-01 10:22:11","2020-03-01 10:53:41"
"5ef0e2ba35f20f8b9401aa29e689893971d591a084dd659b06ad6e349279e0e1","1830661f55151d151bz7jz1iz1","Win32 DLL","8.00 KB (8192 bytes)","096FBD61.bin","2018-10-25 10:03:06","2020-02-06 18:15:32","2020-02-06 18:15:32","2020-03-01 11:11:08"
"05dc66031e4276bc20010743d8cd0ee36e4064cf087b6b4617fefb86a4702873","194046651d151078z6adz37z95z46z2","Win32 DLL","96.00 KB (98304 bytes)","desktop.dll","2007-06-13 07:31:32","2007-08-14 11:04:04","2020-02-07 09:36:51","2020-03-01 10:38:40"
