Date,Type,Indicator,Name,Type File,Notes
2020-02-05 02:05:55,SHA256,ec7d7a878d246110e5be868e3e491417f8c2edab6b76c1971858d3892e42f1de,ec7d7a878d246110e5be868e3e491417f8c2edab6b76c1971858d3892e42f1de,Mach-O,Adware.OSX.MacSearch
2020-02-05 02:01:33,SHA256,1058afd4701d7017e885885eeb3a1b1a4060aecd2e238483c501638bac7ee4a3,IMG_PO#7534423542_RFQ-Drawing.img,ISO,FareitVB-X
2020-02-05 01:10:09,SHA256,929acb9afec8c1c0bea6aa5b6a77dc1004e7eafc11f296bb0789e2cfaaa88c2e,new 1.php,PHP,Webshell
2020-02-05 01:02:25,SHA256,f8a9240f1632ab2e32194bbc2b4bb00d8f958a8625c56fc9414c275ccf777ca1,leaf.php,PHP,Webshell
2020-02-05 00:33:55,SHA256,aae0bd6b546218304fed653c0f96b05fef0bf64c1a88ebae00a6d99d4d2a77c3,DHL_119040鬆伜庶譖ｸ縲｝df.iso,ISO,AgentTesla
2020-02-05 00:13:23,SHA256,433103dcb0a10b7967493af069b95b830dae55ca035b02405ef2a5a5ff5624e9,redirecttoinbox.php,PHP,Webshell
2020-02-04 17:06:01,SHA256,69463640c897f9f77d8e099eb02d1088746afd773c4a9b4b2a986eb9c7f3a35f,vvvvvvvvv.php,PHP,WordPress.Backdoor
2020-02-03 22:27:51,SHA256,50d366060728ab76d06b8affed7c3d594310751dfe3c72aa972c5fa042744f6e,긴급사양서요청.IMG,ISO,FareitVB-X
2020-02-03 18:58:32,SHA256,e44dc7a08684be74454d43b4c2d9599b0cf59f7652d7d68e481793ca72e5c095,RT 122703 Yeosang Yoon.zip,zip,AdWare.OSX.Adload
2020-02-03 18:37:22,SHA256,55afcfe19732a0aa7859d13b35269b7aa13b17985926f998975ae35a54a5eada,yit-plugin.php,PHP,Webshell
2020-02-03 17:25:40,SHA256,6c762e40f6d961e13c70651332f16a443774c8126e2316dd8b2e91f5b9870158,6c762e40f6d961e13c70651332f16a443774c8126e2316dd8b2e91f5b9870158,PHP,Phishing.HTML.Doc
2020-02-03 17:09:01,SHA256,09cb67be5efa9ac74fa9ca672498e268d193c33572189dcf0c9a78b1183ab661,09cb67be5efa9ac74fa9ca672498e268d193c33572189dcf0c9a78b1183ab661,Bash,Trojan-Downloader.Shell.Agent.a
2020-02-02 16:18:55,SHA256,a5db527021293751178df282f104db12dfdd372f87a53ed4721d0c03655785ad,__DATA__bss,Mach-O x64,MAC.Miner
2020-02-02 15:37:45,SHA256,2cf3c59311790d214ccb405ca6e65d9b1dd6f93df07995c38085f4bf658673af,.36fdcc21.ico,PHP,Webshell
2020-02-01 18:26:28,SHA256,4e45bee4024a7b8dd13725d6bd8c53e65b20528020fb602b7125254b65ce97db,myfile.exe,PHP,Webshell
2020-02-01 18:18:59,SHA256,01dd97ce660ebc5aec4b2a27f5970877c3be3df15108255ed853a607bb37ae91,class.project.php,PHP,JS/Foretype
2020-02-01 17:54:16,SHA256,d6f499475984476943eb3f7ece8650a142561a1d4347ce34cb65dc8ebf26ee2b,class._project.php,PHP,Backdoor:PHP/Yorcirekrikseng.E
2020-02-01 17:50:42,SHA256,695ca656267455b356d842abf92b524a914b33bc2a5706bbe7fbefb10cb8747e,class._project.php,PHP,Backdoor:PHP/Yorcirekrikseng.E
2020-02-01 17:35:10,SHA256,959c5370986f20f0f81a73d9b888ae76f2de6983739df7315345d94577d2ed5f,2.php,PHP,Webshell
2020-01-31 16:20:00,SHA256,eae9bb002f8ec60910a3d34528b1a9808a434643fdc1b9cd9c48ce3e08f449f0,class-be-gdpr-activator.php,PHP,Webshell
2020-01-31 16:04:30,SHA256,6d1f2233e88b29877d0ec0429621c21e09aad705e0617de4f7610e82aeeeed1f,Quote.img,ISO,Generic BackDoor
2020-01-31 12:59:01,SHA256,23b4b0399a2c2fbb667e526aea1be548ac409a88f0f126bafbfe1c42408b7278,viewImageConfig.php,PHP,Webshell
2020-01-31 11:09:30,SHA256,5695503d65022cf1afa63dc3b8b42aab309c06034470f7678303d319fea11210,Player.app.zip,Zip\Signed,Downloader.OSX.Shlayer
2020-01-31 05:28:16,SHA256,e1a77bee0265b71b827ebdf16c456f70b380dd26976151525cea97933b5e37ca,bitforce-firmware-flash,Mach-O,MAC.Miner
2020-01-31 01:24:42,SHA256,fb38b1c9afc84db2c5682f212acc9e65a1ef6ded073cf6c3dc4d47509713d6c0,wf0j4rsw,Bash,AdWare.OSX.Bnodlero
2020-01-31 01:21:23,SHA256,4b0ce800434ff58a1e7a4714676bb836fdcd5f431993910997c44f6bebdc1076,4b0ce800434ff58a1e7a4714676bb836fdcd5f431993910997c44f6bebdc1076,Macintosh Disk Image,AdWare.OSX.Bnodlero
2020-01-31 00:50:51,SHA256,82c2d37afd9810690f6915492d5773a8b6aed777d21f4d28ad489dbd7d4b1988,microsoft office 2020 product key full _246825.iso,ISO,Strictor
2020-01-30 23:21:56,SHA256,01abec775ce1547d52ec9fbea0649a5708bd382fef732cb9d2ae62093a18569c,RFQ 20200131-01.img,ISO,FareitVB-X
2020-01-30 21:22:14,SHA256,c53e9ce6420c3b1cbc3dff41eb1fbd11006f7ce942d8508478227ef23027ff7a,class.theme-modules.php,PHP,WordPress.Backdoor
2020-01-30 20:42:06,SHA256,a1104ef277ee5e18e9e318ffc083444d299cf6b33461a8029bde1b13ea41eec1,pjdbowex.php,PHP,Webshell
2020-01-30 18:12:27,SHA256,f1ab710716d216ed4b7a0b96ddf455520643bcd7ea51a716ecc7ee8091a31759,installer.zip,Zip\Signed,Downloader.OSX.Shlayer
2020-01-30 17:58:33,SHA256,8e5bc2ab3edaed5b6b51cba5e0c90e00f333bb8916e9746bf6f12e743b9ce9b8,game-setup.dmg,Macintosh Disk Image\Signed,Adware.MAC.Bundlore
2020-01-30 17:13:32,SHA256,a6106e4674b784f8a8ca57823a987b564f425686f5e55d4328fb7013a2062eda,a6106e4674b784f8a8ca57823a987b564f425686f5e55d4328fb7013a2062eda,Macintosh Disk Image,AdWare.OSX.Bnodlero
