Date,Type,Value,malware,Available
2021-04-22,File,98473e1b8f7bedd5cfa3b83dad611db48eee23faec452e62797fb7752228c759,ISO,
2021-04-22,File,2ebbb99b8dae0c7b0931190fa81add987b44d4435dafcf53a9cde0f19bb91398,CobaltStrike,
2021-04-22,File,574b7a80d8b9791cb74608bc4a9fcba4e4574fafef8e57bdee340728445ebd16,Decoy Document,
2021-04-22,File,3c86859207ac6071220976c52cef99abf18ae37ae702c5d2268948dda370910b,LNK,
2021-05-12,File,279d5ef8f80aba530aaac8afd049fa171704fc703d9cfe337b56639732e8ce11,EnvyScout,ok
2021-05-12,File,749bf48a22ca161d86b6e36e71a6817b478a99d935cd721e8bf3dba716224c84,ISO,ok
2021-05-12,File,cf1d992f776421f72eabc31d5afc2f2067ae856f1c9c1d6dc643a67cb9349d8c,BoomBox,ok
2021-05-12,File,73ca0485f2c2c8ba95e00188de7f5509304e1c1eb20ed3a238b0aa9674f9104e,Decoy Document,ok
2021-05-12,File,eae312c5ec2028a2602c9654be679ecde099b2c0b148f8d71fca43706efe4c76,LNK,ok
2021-05-12,File,279d5ef8f80aba530aaac8afd049fa171704fc703d9cfe337b56639732e8ce11,EnvyScout,
2021-05-13,File,9059c5b46dce8595fcc46e63e4ffbceeed883b7b1c9a2313f7208a7f26a0c186,EnvyScout,
2021-05-13,File,a098cfa13d7b0a4b12021508c935f2ce7c395a24e8aeed6090e3121ef831d816,EnvyScout,ok
2021-05-13,URL,file://54.38.137.218/img_lk.png,,
2021-05-13,File,9301e48ea3fa7d39df871f04072ee47b9046d76aa378a1c5697f3b2c14aef1d6,EnvyScout,ok
2021-05-13,File,9059c5b46dce8595fcc46e63e4ffbceeed883b7b1c9a2313f7208a7f26a0c186,EnvyScout,ok
2021-05-13,Address,54.38.137.218,,
2021-05-13,File,e41a7616a3919d883beb1527026281d66e7bcdaff99600e462d36a58f1bdc794,ISO,ok
2021-05-13,File,60e20576b08a24cdaeaabc4849011885fb7517713226e2663031d9533d2187bc,ISO,ok
