Total,Positives,Hash,Timestamp,Available,YR1,YR2,YR3
67,9,7f8ee1840da79255ed4fbf305ea6f7a76cde88dc543dd5ccb7d9321da76b609d,24/11/2021 11:55,y,,2,
66,8,9ea77b21376336598fa49a16fb1d8ffdd5c8bbac7a49da518b7eaee0e1d783da,24/11/2021 11:47,y,1,,
67,8,402722d95d468ddef049e1079c882bb9a316841b9695a15783fc23bbd3b33aed,24/11/2021 11:41,y,,2,
67,9,13fe508e7efb50378eb8e0225221283756bf482d51be7837f850ef2b7f3281f0,24/11/2021 11:34,y,,2,
65,9,942462f9d0daca095f8a124695e8b78c03a0ba23e28aef987e9bc627103497ac,24/11/2021 11:25,y,,2,
67,10,1fe63ba4b112edf2e4ec228ae95db0a3867cfbb6d48c1c19857f7d76f29f066e,24/11/2021 10:29,y,,,3
67,14,4c6d9509bb36e3858dfde9913834eb755684f2c1e24e6a5b22f544105b58994a,24/11/2021 09:16,y,1,,
67,8,885541a837fd52711c83cb7f4204cf0aa97af8ae5ef9b1e4130a2dcaf5315d53,24/11/2021 09:12,y,,2,
67,11,b8cbcee520fd408bc5594e89fb323ae130896570d2c48ccd94d0c003b70c5c0a,24/11/2021 09:11,y,,2,
68,11,57ec6e15bcc9c79c118f97103815bd74226d4baae334142890a52fbbc5006f1b,24/11/2021 08:40,y,,,3
56,11,76fe99189fa84e28dd346b1105da77c4dfd3f7f16478b05bfca4c13a75d9fd07,23/11/2021 21:15,y,1,,
67,5,2d8471cf29e205c9df9d1235e3acfff3d99810bdc262667fdf7629eb92028ede,23/11/2021 18:34,y,1,,
67,14,a018545b334dc2a0e0c437789a339c608852fa1cedcc88be9713806b0855faea,23/11/2021 18:32,y,1,,
66,5,f323e4d24f9c26da608b4cd4c3737aa186112d8ff2e3c85a828ae7d1c8ca96f2,23/11/2021 18:08,y,,2,
67,6,0185eb8294ca76dfe90a4c57444860f98156a10d86346647407194bbd2eff343,23/11/2021 18:07,y,,,3
67,20,b1c1317408ac38fcd26cf0b1c8653700d496213b6a6a87f61bd067b1b3870049,23/11/2021 16:25,y,1,,
65,7,0dcda614c0128813bf74802f0e98ffd5ec32a40f35ed42778a5ec5984b5adf47,23/11/2021 16:25,y,,,3
68,21,697c3bc8c3bf1f67b4ce22c5533d53bb59a7a8722dcca9aa3767d506dec57b80,23/11/2021 16:25,y,1,,
66,17,5d97d3035b2ec1bd16016922899350693cae5f7a3be6cadbe0da34fbfd14b612,23/11/2021 16:25,y,1,,
65,5,eddf352c62be8f005f17ded1e44fc6a7ebe8aa170c642262533f75bc3b5b625d,23/11/2021 16:25,y,,2,
67,5,9d24383e50e61257c565e47ec073cbb2cd751b6f650f0d542b0643dbe6691b3c,23/11/2021 16:05,y,,,3
68,17,9e4763ddb6ac4377217c382cf6e61221efca0b0254074a3746ee03d3d421dabd,23/11/2021 12:49,y,1,,
