"MD5","SHA-256","Vhash","File type","File size","Filename","Creation Time","First Submission","Last Submission","Last Analysis"
"1d1fb7aba66794303afc6b5420068231","1e6e568e2fccfeb2e0275982d5637e0be6d0ba4575685126d957061bf2d19678","8e794e8bb4a809c02d8dd6e216415fb46","Rich Text Format","1.65 MB (1734745 bytes)","178P.rtf","2019-12-26 11:48:00","2020-06-23 16:28:20","2020-06-23 16:28:20","2020-06-24 02:09:20"
"b19f5719b3443ad8d2585e8eb4eebc80","8e2f1bf1cf0ee21907de4bb0ee23a4bfc06afd1e2776a76f9fe1bb0c728a5414","88f0183366d39319cf5e426f4320df26e","Rich Text Format","161.15 KB (165017 bytes)","1806XP.rtf","2020-06-18 21:55:00","2020-07-06 02:23:29","2020-07-06 02:23:29","2020-07-06 02:23:29"
"5ad591a0c8b8689a5337acf675d8119f","4c5c43f4932ac497c716bb5ec30a7636e5056775a4d5f3f48b9e5c1414b9f7b3","8e794e8bb4a809c02d8dd6e216415fb46","Rich Text Format ","1.65 MB (1734718 bytes)","248P.rtf"," 2019-12-26 11:48:00","2020-07-05 07:21:09","2020-07-06 10:58:52","2020-07-06 10:58:52"
"2ef8dbe494ce10bbf5a1a85f55bb1030","1e2f23f0bcac6ae9e9fb7febe74b2a4bb0ccf9a08bee3b95254a6b2e4973eb91","8e794e8bb4a809c02d8dd6e216415fb46","Rich Text Format","1.43 MB (1499407 bytes)","308P.rtf","2019-12-26 11:48:00","2020-07-06 02:21:37","2020-07-06 02:21:37","2020-07-06 02:21:37"
"fe52193cc2d0ed526468914c74f3bd7c","9b34f53ddc20d5ea2f7b47818ed2e7d626948256268cb4e2b11e47ecaf9a839a","135056655d15151az4f9z65z2lz","Win32 DLL","345.00 KB (353280 bytes)","vetu.dll","2020-06-17 16:34:35","2020-07-05 11:04:42","2020-07-05 11:04:42","2020-07-06 02:19:33"
"0474325cfc9bb94ada64c4ac026cf0f6","563463dca03d5d1d64d11465d2a511f995254663194032a891fd5491c4062cff","145056655d15755018z68z5065z22z11ez1","Win32 DLL","464.50 KB (475648 bytes)","cvent.dll","2020-06-17 16:35:26","2020-07-05 17:59:59","2020-07-05 17:59:59","2020-07-05 17:59:59"
"e7ea5e853bf24762f849a1edec3c09b3","8426c1ef563077a8f6df9e1555ac65aeae3ade47ad829b4655aedfb18a5ceada","145056655d15755018z68z5065z22z11ez1","Win32 DLL","464.50 KB (475648 bytes)","mecru.dll","2020-06-17 15:13:53","2020-06-24 19:04:05","2020-06-24 19:04:05","2020-06-24 19:04:05"
"27fe3cb424c1711ea61eb712850bda93","e291a146f79d927d18392a04d238d829c0df156410e4d93636aee1b5663db914","135056655d15151az4f9z65z2lz","Win32 DLL","345.00 KB (353280 bytes)","vetu.dll","2020-06-17 14:46:37","2020-06-23 20:06:21","2020-06-23 20:06:21","2020-06-23 20:06:21"
