Date,Type,Indicator,Description
2020-10-01,SHA256,64d78eec46c9ddd4b9a366de62ba0f2813267dc4393bc79e4c9a51a9bb7e6273,64d78eec46c9ddd4b9a366de62ba0f2813267dc4393bc79e4c9a51a9bb7e6273.exe
2020-10-01,SHA256,927d945476191a3523884f4c0784fb71c16b7738bd7f2abd1e3a198af403f0ae,mediaplayer.exe
2020-10-01,SHA256,2aa26ed63702ac7b49b775eb5ea045c52bc375a46e0763ff5c135d64ed77ff58,D7YD4.exe
2020-10-01,SHA256,4186b5beb576aa611b84cbe95781c9dccca6762f260ac7a48f6727840fc057fa,wHPEO.exe
2020-10-01,IP,103.78.242.69,IP C2
2020-10-01,Domain,sdvro.net,Domain C2
